image_id,flood_pixels,flood_fraction
scene_0149,1480,0.09033203125
scene_0150,0,0.0
scene_0151,3939,0.24041748046875
scene_0152,2268,0.138427734375
scene_0153,3958,0.2415771484375
scene_0154,2469,0.15069580078125
scene_0155,1059,0.06463623046875
scene_0156,3107,0.18963623046875
scene_0157,1979,0.12078857421875
scene_0158,1435,0.08758544921875
scene_0159,3178,0.1939697265625
scene_0160,0,0.0
scene_0161,2039,0.12445068359375
scene_0162,1257,0.07672119140625
scene_0163,2895,0.17669677734375
scene_0164,986,0.0601806640625
scene_0165,2388,0.145751953125
scene_0166,2441,0.14898681640625
scene_0167,2304,0.140625
scene_0168,2153,0.13140869140625
scene_0169,2269,0.13848876953125
scene_0170,0,0.0
scene_0171,2852,0.174072265625
scene_0172,2443,0.14910888671875
scene_0173,2049,0.12506103515625
scene_0174,1608,0.09814453125
scene_0175,4294,0.2620849609375
scene_0176,3474,0.2120361328125
scene_0177,1798,0.1097412109375
scene_0178,4645,0.28350830078125
scene_0179,2405,0.14678955078125
scene_0180,0,0.0
scene_0181,2073,0.12652587890625
scene_0182,1433,0.08746337890625
scene_0183,2310,0.1409912109375
scene_0184,2823,0.17230224609375
scene_0185,2261,0.13800048828125
scene_0186,2009,0.12261962890625
scene_0187,2678,0.1634521484375
scene_0188,2168,0.13232421875
scene_0189,1973,0.12042236328125
scene_0190,0,0.0
scene_0191,3892,0.237548828125
scene_0192,2924,0.178466796875
scene_0193,1677,0.10235595703125
scene_0194,3578,0.2183837890625
scene_0195,2656,0.162109375
scene_0196,1892,0.115478515625
scene_0197,1601,0.09771728515625
scene_0198,1918,0.1170654296875
scene_0199,3942,0.2406005859375
