cell_id,latitude,longitude,population,buildings,road_km,hospitals,schools,vulnerability_index,flood_depth_m,flood_duration_h,building_damage_pct,road_damage_pct,affected_population,estimated_damage_inr,impact_class
C00110,22.26547666851171,84.1209217716492,4494.6,922,2.9,1,3,0.636,0.0,2.3,18.44,9.27,1253.9,45712880.0,None/Low
C00111,25.246619094861288,88.01112525045833,4407.5,813,10.71,1,5,0.617,0.468,6.5,23.46,13.18,1579.7,53635148.0,Moderate
C00112,26.593148159997757,87.53399113668286,6489.1,1304,2.69,1,0,0.381,1.208,16.0,28.65,19.37,2807.4,101058402.0,High
C00113,23.72712882027325,90.57494102873082,899.4,233,6.03,0,0,0.437,0.522,6.6,24.51,20.96,290.6,14081658.0,Moderate
C00114,25.716986305474684,87.57299736682508,1287.1,257,3.63,0,1,0.119,0.292,1.0,12.06,10.5,260.4,8800628.0,None/Low
C00115,28.208132045587437,89.43372723991686,14026.9,2942,0.48,2,8,0.543,0.523,6.3,22.97,10.11,4906.7,180551700.0,Moderate
C00116,28.720376603426153,79.20527491155225,4690.6,926,1.65,1,3,0.2,0.254,1.0,3.7,11.14,1011.7,18349392.0,None/Low
C00117,21.52605616820975,85.66756736236054,3835.9,807,7.68,1,6,0.392,1.286,6.2,27.21,30.29,1724.0,60792794.0,High
C00118,28.43450662220733,88.35925837329341,1954.0,399,6.12,0,2,0.688,1.396,15.3,46.39,17.84,1061.5,46330411.0,High
C00119,19.52459464206742,84.6121218996168,2858.7,697,0.66,2,1,0.447,0.747,6.7,29.74,13.37,1046.8,49889629.0,Moderate
C00120,18.66113868663631,90.27296838221247,1249.9,334,4.38,0,1,0.322,0.627,5.4,24.18,16.18,391.6,19412948.0,Moderate
C00121,24.732329194401814,73.7005849383877,1714.8,355,1.14,0,0,0.762,0.0,8.0,15.85,0.12,532.5,16514926.0,None/Low
C00122,19.954227463772234,79.06014383255499,2909.3,699,1.76,0,1,0.597,0.768,13.7,24.21,18.3,1185.0,44756466.0,Moderate
C00123,27.877606462259067,84.0476658864368,879.8,171,5.23,0,2,0.436,0.944,10.7,22.22,5.95,351.0,11127555.0,Moderate
C00124,18.596761406154112,79.16934376391917,3405.8,711,4.75,0,3,0.577,1.158,12.7,37.79,14.1,1610.0,67850068.0,High
C00125,22.664487322729745,87.34671269342502,3756.8,911,3.5,3,3,0.45,0.769,8.1,23.24,21.52,1393.2,55022095.0,Moderate
C00126,19.117053425272573,79.40409175110678,801.3,151,4.25,0,1,0.226,1.736,16.6,36.21,27.54,391.9,14837833.0,High
C00127,26.410175157475173,78.52833174786932,366.9,82,10.79,0,0,0.497,2.989,24.8,61.94,51.24,287.0,13969907.0,Severe
C00128,20.181881035158312,72.65994536402557,5546.8,1467,4.11,1,0,0.633,0.874,12.4,25.91,19.64,2416.4,97611132.0,Moderate
C00129,27.302976839422996,81.28835937045838,7033.1,1504,3.63,2,3,0.673,2.509,21.2,55.79,35.25,5203.1,213788062.0,Severe
C00130,22.81361525795389,81.35520333488066,7236.1,1587,5.53,1,3,0.427,0.393,3.6,18.69,0.0,2152.8,79212820.0,Moderate
C00131,27.692898441608055,87.3789739468593,7034.5,1296,0.59,0,7,0.266,0.267,6.5,23.73,11.51,1650.0,75167360.0,None/Low
C00132,24.873375918533583,75.98653121635058,2258.3,547,1.44,0,3,0.69,1.051,10.5,25.83,4.88,1087.8,38504909.0,High
C00133,24.094605938465968,89.37937792664079,1213.5,275,1.89,0,0,0.497,0.0,9.2,13.38,2.68,296.5,10191881.0,None/Low
C00134,22.815260964917304,78.71456702513106,2898.1,603,0.45,0,6,0.635,0.378,3.4,18.74,0.0,1004.7,32393435.0,Moderate
C00135,24.672647728579953,72.27865491943196,9047.4,2307,1.09,2,9,0.406,0.627,11.7,7.8,15.83,3024.8,68723263.0,Moderate
C00136,22.85287255221798,74.82380691281872,17097.8,3160,4.18,4,9,0.418,1.912,20.0,52.51,32.5,9721.2,415667279.0,High
C00137,20.599326732373953,86.24273546699237,2134.5,452,5.8,1,1,0.275,0.873,8.9,33.69,21.18,738.4,36575850.0,Moderate
C00138,18.337472361698616,88.78742247231665,9787.6,1877,0.71,0,3,0.219,0.754,11.0,25.45,9.1,3037.7,122440671.0,Moderate
C00139,23.915834358774617,86.8909954335197,8529.3,2115,3.9,1,4,0.595,0.583,8.4,12.89,16.94,3186.8,87485116.0,Moderate
C00140,28.122207577028888,78.57322072391705,11201.8,2532,1.71,2,7,0.376,3.152,28.1,64.59,46.91,8751.6,399572356.0,Severe
C00141,22.997826431184492,90.91922685423478,8959.3,1745,3.49,1,5,0.259,0.199,3.6,23.59,20.52,1977.3,97989735.0,None/Low
C00142,19.503174585524807,90.44109240054945,8186.1,1733,2.41,0,5,0.358,0.634,6.6,25.0,3.38,2649.2,109791159.0,Moderate
C00143,21.333768925856415,85.09526441272808,4553.2,1159,1.58,0,2,0.486,0.409,5.4,26.28,5.29,1433.9,72062782.0,Moderate
C00144,20.82231860272127,83.2997826098499,3233.7,898,2.35,1,4,0.36,0.144,4.8,0.46,7.87,762.8,9948635.0,None/Low
C00145,20.674792716492515,89.77735988351107,4373.1,945,2.42,1,5,0.02,0.757,7.5,14.81,8.26,1143.0,38962526.0,Moderate
C00146,26.846355153217186,76.17257843233352,11088.0,2823,1.48,2,8,0.569,0.838,14.1,28.16,21.17,4579.4,198146705.0,Moderate
C00147,18.169516159983527,89.07009909173019,1959.5,375,1.78,0,2,0.382,0.131,1.0,10.63,0.92,468.6,12801897.0,None/Low
C00148,18.91919140715071,79.70809907159295,4620.6,980,5.97,0,2,0.448,1.021,9.6,26.07,22.31,1920.9,69376272.0,High
C00149,18.73433433305743,75.4997541637662,1187.5,284,2.71,0,0,0.342,1.832,18.0,47.77,31.74,635.7,32261490.0,High
C00150,24.20133692727724,74.20424403905695,2666.6,650,3.07,1,1,0.258,0.085,2.0,8.15,0.53,532.9,15934946.0,None/Low
C00151,18.558745417730957,89.78845425620008,9933.7,1862,4.87,1,5,0.829,1.251,8.2,31.0,21.62,5487.7,170007958.0,High
C00152,20.727011041195667,77.76319653183722,3568.7,766,7.1,0,3,0.418,0.004,4.2,11.84,1.04,803.4,25979843.0,None/Low
C00153,28.174671705995905,86.8404228324874,2298.2,564,2.57,0,3,0.442,0.577,5.0,30.63,9.74,768.3,40373618.0,Moderate
C00154,26.77791615750283,79.3103293100999,12460.3,3188,1.01,0,8,0.584,0.629,6.1,34.83,14.51,4725.5,256605033.0,Moderate
C00155,23.586928512922427,74.74436580697454,3952.1,943,3.19,0,1,0.415,0.68,7.4,20.84,24.81,1367.6,51985021.0,Moderate
C00156,24.790839196268944,75.15052430924891,3094.0,567,4.01,0,1,0.79,0.086,1.1,13.04,9.49,1029.9,25763711.0,None/Low
C00157,24.3942975271014,81.99283004975976,11671.9,2857,3.42,1,4,0.435,0.09,1.0,5.09,6.45,2858.5,60557568.0,None/Low
C00158,23.226154902715766,83.95385854178075,2075.4,480,3.69,0,2,0.821,2.32,17.8,50.2,39.12,1541.5,62229754.0,Severe
C00159,26.391220099903457,88.50198710170373,2995.5,646,6.96,0,2,0.273,0.601,8.5,27.7,13.79,888.0,43105824.0,Moderate
C00160,25.431550354209982,87.94222592131413,7322.5,1607,4.67,1,5,0.416,1.307,15.9,32.64,22.21,3362.9,135038547.0,High
C00161,22.22003492763213,88.74590324020629,1871.7,415,0.48,0,1,0.429,1.812,12.5,42.04,31.0,1035.8,43870307.0,High
C00162,18.36376512463862,72.61577089141514,4301.7,1042,4.15,0,3,0.299,0.0,1.0,17.43,5.73,837.3,42795700.0,None/Low
C00163,22.05566365074064,80.60784652934584,4692.6,1062,3.43,2,1,0.115,0.696,9.2,12.18,6.39,1285.1,38750650.0,Moderate
C00164,27.298744819739404,80.10058737729646,2247.5,435,1.07,1,1,0.136,2.069,17.2,47.85,26.29,1182.9,51728994.0,Severe
C00165,28.617610966028508,88.03223813515551,2751.2,513,1.36,0,0,0.655,0.363,6.4,18.78,4.63,960.6,28886892.0,Moderate
C00166,25.49969089064539,85.35790692618686,7219.5,1747,2.32,3,5,0.284,0.191,6.0,10.09,7.16,1627.3,51307033.0,None/Low
C00167,25.952685855590808,80.85101380106904,2941.1,720,4.49,0,1,0.642,1.09,9.7,44.79,22.94,1402.4,75137784.0,High
C00168,25.80285995421136,83.29832663828739,4716.9,1316,3.9,1,3,0.421,0.823,6.1,29.07,25.32,1760.8,90227112.0,Moderate
C00169,22.0646660979296,85.82270598940492,2613.6,574,0.97,0,2,0.63,0.081,6.5,22.34,1.76,763.5,32243502.0,None/Low
C00170,18.528461924919647,72.0279898837314,2616.6,569,8.79,0,1,0.424,0.501,7.9,24.54,9.62,827.0,35271279.0,Moderate
C00171,26.23417782707017,80.83434851725171,1056.4,287,1.5,0,0,0.241,1.058,8.5,29.72,22.97,391.6,20138113.0,High
C00172,24.453582343130922,76.85732336182359,1766.7,379,2.17,0,0,0.518,0.263,1.8,2.55,11.53,524.2,8089616.0,None/Low
C00173,23.83125467451304,85.19959438463529,4825.6,970,1.39,1,1,0.948,2.118,20.5,52.44,35.18,3563.0,134434107.0,Severe
C00174,19.700713459894587,76.05620879603929,3705.0,994,3.37,1,2,0.775,0.53,12.3,25.0,8.93,1516.0,63004868.0,Moderate
C00175,18.87581134698473,88.4448253525398,794.5,221,0.88,0,2,0.251,0.342,6.6,27.5,15.2,194.1,13301912.0,Moderate
C00176,20.51755600089646,85.59538326949728,12412.0,3469,3.26,1,7,0.117,0.416,11.3,18.61,12.41,2783.9,149707149.0,Moderate
C00177,22.246410401556204,80.10124724589551,2398.2,472,1.13,0,2,0.439,0.885,10.3,20.37,25.13,933.0,28574289.0,Moderate
C00178,19.47046091338342,74.73150054552863,1309.4,243,3.37,1,2,0.377,1.595,14.6,44.46,19.08,656.4,27483271.0,High
C00179,24.65939771309614,79.3700302569564,626.2,117,4.89,0,0,0.407,0.243,6.8,12.0,13.37,166.2,4685589.0,None/Low
C00180,28.35345180057334,74.82238712923444,15403.8,2904,1.54,1,10,0.289,1.19,15.1,27.03,17.69,6261.5,216522765.0,High
C00181,28.41518989576543,80.48855673483146,11125.7,2699,3.49,3,7,0.514,0.036,7.6,16.69,3.03,2836.6,115146005.0,None/Low
C00182,19.330891161862063,78.22189193923496,814.9,165,3.1,0,0,0.833,0.464,6.5,15.12,9.23,335.6,8590424.0,Moderate
C00183,20.167594247199602,84.13315390520579,6388.4,1168,5.16,1,1,0.516,1.383,15.9,47.83,16.82,3181.1,138951904.0,High
C00184,24.283831746082697,75.54699628855327,8707.1,1815,8.68,0,2,0.637,0.197,5.4,12.6,10.04,2741.7,74272478.0,None/Low
C00185,23.822080295993313,89.04347965782661,4643.2,1326,8.3,0,2,0.569,0.152,4.2,18.97,12.37,1344.9,61681122.0,None/Low
C00186,26.677130719604975,74.54913890594314,3488.1,811,6.14,1,2,0.268,0.573,4.8,34.02,27.43,1012.2,62225617.0,Moderate
C00187,19.233492245426874,89.44993979652403,2930.3,648,6.15,1,2,0.188,0.491,7.1,16.89,10.39,748.6,28848056.0,Moderate
C00188,26.696510309653153,81.70718712156611,2325.1,444,6.22,1,2,0.251,0.939,6.0,22.42,18.4,818.0,28021719.0,Moderate
C00189,26.111749255652207,76.27839608607032,1986.3,489,1.99,1,0,0.447,0.323,4.1,16.49,8.85,575.9,21468270.0,Moderate
C00190,18.22648569138276,75.38911862617408,450.5,127,2.81,0,0,0.153,0.637,5.6,17.86,7.82,122.9,5611933.0,Moderate
C00191,20.85663998076093,81.827045835788,11976.3,2524,2.18,1,7,0.697,0.777,5.9,20.53,27.59,5199.1,155795085.0,Moderate
C00192,19.135945808806124,81.52065673210747,1765.7,441,1.61,0,2,0.893,1.138,13.8,40.67,14.49,967.7,43955817.0,High
C00193,26.41944411504724,79.88185423493978,4315.9,1056,2.61,0,4,0.62,1.303,9.5,47.85,19.13,2198.6,117461982.0,High
C00194,23.724030077855346,80.48078551876404,2044.3,499,0.91,0,2,0.641,0.019,4.7,26.16,0.0,580.0,30459049.0,None/Low
C00195,19.699962219967386,80.37639115380189,564.1,115,0.39,0,1,0.817,0.727,16.3,32.08,19.63,256.7,9739247.0,Moderate
C00196,20.41457655168063,88.22219350680666,3614.9,723,1.38,1,4,0.529,1.039,7.9,22.61,25.56,1588.0,48570527.0,High
