cell_id,latitude,longitude,population,buildings,road_km,hospitals,schools,vulnerability_index,flood_depth_m,flood_duration_h,building_damage_pct,road_damage_pct,affected_population,estimated_damage_inr,impact_class,flood_depth_m_norm,flood_duration_h_norm,building_damage_pct_norm,road_damage_pct_norm,vulnerability_index_norm,affected_population_norm,estimated_damage_inr_norm,impact_score,evacuation_priority_score,evacuation_population,evacuation_priority,recommended_shelter,shelter_distance_km,shelter_schools
C01593,22.5966718579087,87.42755806280228,5822.6,1259,3.35,0,5,0.864,4.853,37.4,93.89,74.89,5822.6,283266812.0,Severe,0.9705999999999999,0.7505154639175258,0.9389,0.8472677904740356,0.8650553877139979,0.1291253602145154,0.15228926512939273,79.34809308432159,65.41431501150643,5822.6,HIGH,C00125,11.212056250568768,3
C01658,28.43058791794993,88.50524446191059,3566.1,672,0.57,1,1,0.806,3.081,33.3,79.88,57.35,3124.6,134201784.0,Severe,0.6162,0.6659793814432989,0.7988,0.6488290530603009,0.8066465256797584,0.06908775326279248,0.07194515423177154,61.72953567420696,52.120500633319146,3124.6,HIGH,C06883,7.8583578728576535,1
C01680,26.02828538043396,88.62853340699675,15147.7,3041,2.68,4,11,0.418,5.0,43.5,98.63,73.59,15147.7,722151284.0,Severe,1.0,0.8762886597938144,0.9863,0.8325602443715353,0.4159113796576032,0.3366333989786041,0.388842286067422,82.3681131218975,63.275034642698394,15147.7,HIGH,C07034,5.786523814415463,12
C01700,27.940401366004096,87.44459744689175,2235.0,582,4.3,0,0,0.628,4.92,38.9,97.79,86.22,2235.0,130196651.0,Severe,0.984,0.7814432989690722,0.9779000000000001,0.9754497115058264,0.6273917421953675,0.049291809917999044,0.06978643964774636,80.1317204571965,59.49948111217152,2235.0,HIGH,C09028,12.353312523230318,2
C01744,19.594036416136124,89.62083469949215,2062.1,553,1.48,1,1,0.859,3.249,29.7,61.98,52.68,1896.2,84645960.0,Severe,0.6498,0.5917525773195876,0.6198,0.5959950220613192,0.8600201409869084,0.041752617466092545,0.04523520976995588,56.81458237631924,50.4348829505277,1896.2,HIGH,C06764,10.936480736302892,6
C01765,19.40064270911345,86.87076226045431,6333.1,1520,5.65,1,3,0.849,3.996,30.0,98.5,63.1,6333.1,346393967.0,Severe,0.7992,0.5979381443298969,0.985,0.7138816608213598,0.8499496475327291,0.14048532995093296,0.186313980450087,71.06155219108715,59.59347390673789,6333.1,HIGH,C09481,7.620693808844622,3
C01812,27.878252689538783,90.49703015864594,7523.9,2081,1.42,3,5,0.92,3.413,26.5,76.27,58.55,7256.6,372971681.0,Severe,0.6826,0.5257731958762887,0.7626999999999999,0.6624052494626088,0.9214501510574018,0.16103563759360015,0.2006390225452809,62.27258844380573,56.57375305428998,7256.6,HIGH,C02005,12.159669195323623,1
C01842,21.009996968431707,88.513515711764,2291.9,633,2.0,1,1,0.863,3.532,30.9,81.44,63.18,2226.4,119824619.0,Severe,0.7064,0.6164948453608247,0.8144,0.7147867405815137,0.8640483383685801,0.04910043726426116,0.06419604933002761,64.57676803038781,54.421869333367255,2226.4,HIGH,C11033,3.8636100479732436,3
C01864,19.924127529826634,77.87934018492983,3379.0,671,2.28,2,0,0.749,3.524,28.3,82.58,42.62,3181.5,138156839.0,Severe,0.7048,0.5628865979381443,0.8258,0.4821812422219708,0.7492447129909365,0.0703539281462443,0.07407687742526393,59.48327018016997,50.36939393065385,3181.5,HIGH,C00980,2.801540077410018,2
C01925,25.18435143131701,76.98941791098409,866.6,193,2.41,0,2,0.801,5.0,44.8,100.0,72.25,866.6,45574401.0,Severe,1.0,0.9030927835051545,1.0,0.8174001583889581,0.8016112789526687,0.018841305339519568,0.024176147752814285,81.98851815369953,63.773959786732334,866.6,HIGH,C00950,12.161049022099016,5
C01993,27.415356028702572,75.67396693177078,28255.1,7877,5.41,7,17,0.872,2.893,26.7,59.56,42.69,24265.3,1136248364.0,Severe,0.5786,0.5298969072164949,0.5956,0.4829731870121054,0.8731117824773413,0.5395240161554123,0.6120352251778692,58.04127444830745,63.26702947629268,24265.3,HIGH,C01174,4.5386415825300475,2
C02096,23.789197367625626,90.38050295718618,2491.1,474,10.64,0,3,0.65,4.464,35.7,96.06,66.15,2491.1,113612624.0,Severe,0.8928,0.7154639175257732,0.9606,0.748387826677226,0.649546827794562,0.054990709525240045,0.060847864837180174,72.95264466389291,55.96066847161777,2491.1,HIGH,C05344,9.127403760064498,2
C02152,25.4010717468696,79.3264624289772,1148.9,316,8.26,0,1,0.78,3.813,34.3,79.35,57.82,1148.9,60114928.0,Severe,0.7626000000000001,0.6865979381443298,0.7935,0.6541463966512049,0.7804632426988922,0.025123223961636458,0.03201330264737383,65.05878973521413,53.28861235873211,1148.9,HIGH,C00745,1.447910978672152,1
C02210,22.082913230468648,83.76250334683724,16694.0,4365,0.84,1,17,0.67,2.917,23.2,79.86,39.75,13567.1,790372689.0,Severe,0.5833999999999999,0.4577319587628866,0.7986,0.449711505826451,0.6696878147029205,0.3014608854323131,0.4256127358667641,56.05310415763787,52.3456760064895,13567.1,HIGH,C07056,7.907433156640564,3
C02277,20.262761284775795,88.65181920681437,6392.0,1352,2.03,2,5,0.85,2.813,28.2,68.84,49.26,5362.7,232122781.0,Severe,0.5626,0.5608247422680412,0.6884,0.5573028623147415,0.850956696878147,0.1188913737663696,0.12472329775564109,55.6725474602499,50.93950383258481,5362.7,HIGH,C08200,9.055312746016956,11
C02432,25.274355518908507,87.79299277452982,1125.2,293,1.56,0,0,0.918,5.0,47.0,100.0,77.24,1125.2,66544455.0,Severe,1.0,0.9484536082474226,1.0,0.8738545084285552,0.919436052366566,0.02459583653214949,0.035478734058336625,84.78194273632604,67.58285184200517,1125.2,HIGH,C11851,12.35054804030279,7
C02465,20.969314281814476,77.68023747173187,512.9,114,2.56,0,0,0.897,3.814,33.4,79.9,59.74,512.9,22932820.0,Severe,0.7628,0.668041237113402,0.799,0.6758683108948976,0.8982880161127895,0.010970548638695106,0.011972630139269996,65.87181052576105,55.5469115840418,512.9,HIGH,C06980,22.189155513507846,1
C02599,25.120665295632836,80.59746342144388,2093.1,533,3.49,0,5,0.977,3.601,26.9,83.35,46.26,2093.1,105491171.0,Severe,0.7202,0.534020618556701,0.8334999999999999,0.5233623713089716,0.9788519637462235,0.04613416113132392,0.05647050732256704,61.64195531527048,55.16250384327991,2093.1,HIGH,C02201,5.289483580605697,1
C02611,27.19250017570205,85.70626278747936,2287.5,601,3.71,1,0,0.809,3.601,33.7,99.52,48.85,2220.1,134759690.0,Severe,0.7202,0.6742268041237114,0.9952,0.552664328543953,0.8096676737160121,0.048960245669081075,0.07224585830794458,66.86479341158491,54.67570776867438,2220.1,HIGH,C08713,10.319451973379744,6
C02704,21.17227952426665,82.90394584610584,2871.3,656,1.28,0,1,0.687,5.0,38.1,100.0,87.6,2871.3,152815354.0,Severe,1.0,0.7649484536082475,1.0,0.9910623373684805,0.6868076535750253,0.06345116103118707,0.0819776263169117,81.51341162009521,61.62949949652293,2871.3,HIGH,C11781,8.471379255886195,1
C02732,21.341388100127325,78.57145124292072,1594.8,313,4.75,0,2,0.694,3.89,35.7,81.89,59.97,1584.8,65869593.0,Severe,0.778,0.7154639175257732,0.8189,0.6784704152053399,0.6938569989929506,0.03482314719004862,0.035114992219650025,66.28452756196775,52.5772716308477,1584.8,HIGH,C08220,18.33174060605794,5
C02795,25.85199854663612,90.70888918997552,6566.4,1203,1.19,1,6,0.767,4.568,36.7,98.93,65.07,6566.4,293210349.0,Severe,0.9136,0.7360824742268042,0.9893000000000001,0.7361692499151486,0.7673716012084593,0.145676869499427,0.1576487022164243,76.3371426405091,62.00112776327435,6566.4,HIGH,C03663,6.941873370117502,5
C02855,21.322710504788603,77.71837041911095,28711.9,5371,3.38,4,17,0.425,2.742,24.4,63.66,48.42,20667.9,863832697.0,Severe,0.5484,0.48247422680412366,0.6365999999999999,0.5477995248331259,0.4229607250755287,0.45947239004417145,0.4652067245338587,53.23450356216208,52.098397889511304,20667.9,HIGH,C11852,13.97475800616952,4
C02884,24.77474297022295,75.1847773358819,8566.0,1724,3.87,4,9,0.611,3.65,32.3,74.87,56.79,7965.0,328458196.0,Severe,0.73,0.645360824742268,0.7487,0.6424934947392239,0.6102719033232629,0.17679940362940463,0.1766468332084259,62.7716241339678,52.17427591621339,7965.0,HIGH,C00156,3.8937304692942583,1
C02902,26.008730815395545,86.27433071396402,9930.8,2776,3.41,0,8,0.719,3.517,29.6,86.14,51.02,9264.9,542055597.0,Severe,0.7034,0.5896907216494846,0.8614,0.5772146170381265,0.7190332326283988,0.20572560276822768,0.29177305364819034,63.916244037207335,54.93579660478191,9264.9,HIGH,C05021,12.444567320311952,1
C02947,18.422344698470607,76.76034692865007,9345.6,1740,4.87,2,9,0.619,4.518,36.8,99.3,61.22,9345.6,423897561.0,Severe,0.9036,0.7381443298969071,0.993,0.6926122864577441,0.6183282980866063,0.20752139034458206,0.22808740936796978,75.14178405874907,59.86268534067135,9345.6,HIGH,C00791,11.718126568870602,7
C02965,27.68646611973652,80.6513405334215,8184.3,2280,5.06,1,10,0.908,2.825,28.7,69.64,44.27,7001.6,370374175.0,Severe,0.5650000000000001,0.5711340206185567,0.6964,0.5008485122751443,0.9093655589123867,0.1553612158839303,0.19923900060236593,56.347056081996726,53.33996233178859,7001.6,HIGH,C09470,6.41178801341425,5
C02967,26.46832367696966,77.32349870501668,3585.5,747,4.14,0,0,0.759,4.233,39.7,89.58,64.87,3585.5,164141881.0,Severe,0.8465999999999999,0.797938144329897,0.8957999999999999,0.7339065505147642,0.7593152064451159,0.07934399234509384,0.08808247702255743,73.11870312740876,58.69633226106451,3585.5,HIGH,C01606,6.015331973905129,14
C03001,27.706545697022666,80.05480445487764,13419.2,3020,2.44,4,13,0.69,2.749,26.5,76.04,51.08,10563.5,540430505.0,Severe,0.5498000000000001,0.5257731958762887,0.7604000000000001,0.5778934268582419,0.6898288016112789,0.23462287348264851,0.29089715020109314,56.75234159867364,51.38530431623713,10563.5,HIGH,C06402,18.911838029162784,4
C03006,26.523243176927966,72.52528387627687,5566.6,1328,5.62,0,3,0.716,4.49,38.1,99.87,70.86,5566.6,306534654.0,Severe,0.898,0.7649484536082475,0.9987,0.8016743975562847,0.7160120845921449,0.12342868587068996,0.16483032927487645,77.1643341597156,60.797518512371084,5566.6,HIGH,C10965,4.485136802908394,1
C03019,23.246659807245912,90.25297701137002,9804.3,2483,1.82,3,8,0.958,3.053,29.7,68.03,50.85,8912.5,411215890.0,Severe,0.6106,0.5917525773195876,0.6803,0.5752913225477996,0.959718026183283,0.19788377449180547,0.2212521536754599,59.50461278389495,56.96999511355798,8912.5,HIGH,C08239,7.267230750054792,5
C03082,18.891127808712703,75.21816619419644,13304.8,3490,3.41,2,10,0.79,4.363,37.3,94.08,66.91,13304.8,751253305.0,Severe,0.8726,0.7484536082474226,0.9408,0.7569860843986876,0.7905337361530715,0.2956240194933075,0.4045278967967803,77.3711409405904,65.89453314391292,13304.8,HIGH,C03972,10.552770161863796,5
C03208,27.88140899891362,83.79889771529804,790.1,148,4.98,0,1,0.886,5.0,42.9,100.0,83.1,790.1,37156160.0,Severe,1.0,0.8639175257731958,1.0,0.9401516008598257,0.8872104733131924,0.017138978826618603,0.01963882536713103,83.69647529348883,65.92697345072887,790.1,HIGH,C09965,8.492443656145872,3
C03231,19.988719112235824,85.863675889578,1968.4,369,2.74,0,0,0.939,4.773,40.3,94.66,74.48,1968.4,87004521.0,Severe,0.9545999999999999,0.8103092783505154,0.9466,0.8426292567032471,0.9405840886203424,0.04335925765212457,0.046506443466318284,79.70334414741824,65.26224472967436,1968.4,HIGH,C00432,4.122500859137989,3
C03240,28.26868321307206,89.03976586067115,13912.2,2986,6.4,6,10,0.731,3.427,28.1,79.03,47.91,12792.1,579045939.0,Severe,0.6854,0.5587628865979382,0.7903,0.542029641362145,0.7311178247734139,0.2842150939617477,0.3117103667769876,61.643702442195426,55.92596481526202,12792.1,HIGH,C02898,7.452765376418371,4
C03277,23.08156661302048,73.31962156946098,1580.3,318,7.96,2,1,0.815,3.985,32.9,87.03,56.22,1580.3,69900683.0,Severe,0.7969999999999999,0.6577319587628866,0.8703,0.6360448014481276,0.8157099697885196,0.034723010336348566,0.0372876972889993,66.98149051408723,55.17597852886722,1580.3,HIGH,C02091,3.3495474022509026,1
C03366,23.69948204656076,87.0264762941809,4879.8,972,1.41,0,2,0.708,4.158,35.2,81.47,65.52,4879.8,201334751.0,Severe,0.8316000000000001,0.7051546391752578,0.8147,0.7412603235660142,0.7079556898288015,0.10814557673264574,0.10812895010865786,69.2673069432976,56.1783783328746,4879.8,HIGH,C05506,13.310199239009503,3
C03380,27.242149942487917,78.11738370279683,789.8,173,3.91,0,0,0.708,4.83,40.8,100.0,72.96,789.8,41331306.0,Severe,0.966,0.8206185567010309,1.0,0.8254327412603235,0.7079556898288015,0.01713230303637193,0.021889174746448622,78.83687976654272,59.87086402782921,789.8,HIGH,C06994,5.42969456732376,2
C03520,24.10955341770923,82.77217988507813,7331.4,1452,5.12,3,5,0.899,5.0,41.5,100.0,74.38,7331.4,350287630.0,Severe,1.0,0.8350515463917526,1.0,0.8414979070030546,0.9003021148036254,0.16270013462843663,0.18841261415423097,83.6068804644801,69.28037137771122,7331.4,HIGH,C03719,9.425760897665654,13
C03591,18.33879048858884,79.54615739351748,11296.0,2724,0.87,4,7,0.947,3.571,26.6,66.78,53.78,11291.2,463044316.0,Severe,0.7142000000000001,0.5278350515463918,0.6678000000000001,0.6084398687634348,0.9486404833836858,0.25081611535765547,0.24918700105088287,61.48507074220686,59.01089698375143,11291.2,HIGH,C00327,7.112426168740928,1
C03647,24.448867052870675,82.0048036979438,18712.9,5310,0.24,5,15,0.643,3.55,30.8,81.73,56.46,17210.1,987752943.0,Severe,0.71,0.6144329896907217,0.8173,0.6387600407285892,0.6424974823766365,0.3825272316610478,0.5319981250432022,66.4437215105997,59.005049715350985,17210.1,HIGH,C11631,4.972805171566884,4
C03657,23.41941000049444,72.04169390208844,551.8,114,2.29,1,1,0.819,3.832,33.3,83.87,55.64,551.8,24149795.0,Severe,0.7664,0.6659793814432989,0.8387,0.6294829731870121,0.8197381671701913,0.011836176107346707,0.012628563832581567,65.39973361594703,53.843429810015174,551.8,HIGH,C04410,10.246278825922102,1
C03770,23.39518269919365,74.24675156164957,3428.4,823,0.42,0,2,0.85,3.153,28.0,68.52,47.6,3085.3,138579083.0,Severe,0.6306,0.5567010309278351,0.6851999999999999,0.5385224572915488,0.850956696878147,0.06821322474047865,0.07430446144827069,56.337525933379816,50.38349320163476,3085.3,HIGH,C11127,8.238848264330487,2
C03862,23.796221545617524,73.39090347756263,1891.6,357,4.35,0,2,0.476,5.0,42.2,100.0,70.24,1891.6,87724082.0,Severe,1.0,0.8494845360824743,1.0,0.7946600294150922,0.4743202416918429,0.04165025534897693,0.04689427748451337,78.23017627127601,56.02049677113668,1891.6,HIGH,C09819,8.140360431463892,2
C03936,26.87989889928891,79.61445718835384,15503.0,4155,2.64,1,13,0.53,3.906,32.9,79.85,61.53,14814.9,775348515.0,Severe,0.7812,0.6577319587628866,0.7985,0.6961194705283403,0.5287009063444109,0.329227722331631,0.4175149015309925,67.71820704791452,56.57401514239814,14814.9,HIGH,C09453,12.563335695966039,2
C03954,21.18308606306262,87.53613722297932,6904.9,1810,1.14,1,2,0.76,5.0,34.9,100.0,74.56,6904.9,408871500.0,Severe,1.0,0.6989690721649484,1.0,0.8435343364634008,0.7603222557905337,0.1532093861610868,0.21998855796374625,79.88738302952059,64.13265573706076,6904.9,HIGH,C08379,15.527942362310917,1
C04087,27.063597144538463,86.94015842702157,4055.4,792,4.48,2,5,0.429,4.271,35.9,84.56,71.13,4040.1,169823362.0,Severe,0.8542,0.7195876288659794,0.8456,0.8047290417468039,0.4269889224572004,0.08946003983221514,0.09114472137088793,69.2275434688592,50.46698001380631,4040.1,HIGH,C10813,20.780825245009396,1
C04091,23.83870366466777,86.24510848674159,7887.2,1993,11.03,1,6,0.544,4.106,39.2,93.97,63.65,7848.7,433030084.0,Severe,0.8211999999999999,0.7876288659793815,0.9397,0.7201040841724177,0.5427995971802618,0.17421142227711206,0.23300972045952292,72.60506391785339,56.03722152673731,7848.7,HIGH,C09173,6.689181334145894,3
C04102,21.87260839256709,88.33268024097661,862.6,243,1.58,0,1,0.859,5.0,42.9,98.1,80.14,862.6,53577918.0,Severe,1.0,0.8639175257731958,0.981,0.9066636497341328,0.8600201409869084,0.018752294802897293,0.028489939297662727,82.65218214947977,65.00550619312524,862.6,HIGH,C01777,7.739069016172549,2
C04121,18.14050041007682,75.7206460235453,31585.1,7068,8.15,5,18,0.936,2.089,14.1,54.66,30.45,23058.4,972753191.0,Severe,0.4178,0.27010309278350514,0.5466,0.3444959837085643,0.9375629405840886,0.5126673119930572,0.5239134538477236,45.6552435891613,58.37688985990695,23058.4,HIGH,C03753,4.080726838067623,1
C04196,20.239005717657346,77.13870650288315,16133.5,3459,4.05,3,10,0.916,2.713,21.9,73.63,32.08,13510.2,620881709.0,Severe,0.5426,0.43092783505154636,0.7363,0.36293698382169925,0.9174219536757301,0.30019471054886127,0.33425930256337055,53.46564657442114,55.411129841889675,13510.2,HIGH,C01251,2.698613622657956,6
C04356,25.044635619170407,85.35988482249198,1336.4,294,6.82,0,0,0.436,5.0,46.0,100.0,73.24,1336.4,70205241.0,Severe,1.0,0.9278350515463918,1.0,0.8286005204208621,0.4340382678751259,0.02929559286580549,0.037451850088989096,79.85034338074736,55.97480199876359,1336.4,HIGH,C06599,6.249349958028713,2
C04419,23.92215693423327,84.83563121501776,9330.3,2477,6.87,0,5,0.761,3.461,25.2,73.24,56.6,8706.9,431988213.0,Severe,0.6921999999999999,0.49896907216494846,0.7323999999999999,0.6403439303088585,0.7613293051359517,0.19330863290942066,0.23244816554427467,60.143576097106774,53.41003498429726,8706.9,HIGH,C05486,8.936903016399079,1
C04456,22.157399233473758,79.99331018745502,30823.5,7483,6.35,5,23,0.637,2.243,22.6,59.62,28.86,21056.0,1056149379.0,Severe,0.4486,0.44536082474226807,0.5962,0.32650752347550627,0.6364551863041289,0.46810863735994745,0.5688629142745573,48.15654587030341,54.183196630949645,21056.0,HIGH,C07073,10.124062724483677,6
